key,value
company.name,Orchyra
company.brand_tagline,Private LLM Hosting in the Netherlands
plan.start_date,2025-10-01
plan.horizon_months,36
plan.currency,EUR
offerings[1].key,public_tap
offerings[1].pricing.unit,per_1M_tokens_total
offerings[1].pricing.baseline_eur_per_unit,1.20
offerings[1].pricing.credit_packs[0].name,Starter
offerings[1].pricing.credit_packs[0].price_eur,50
offerings[1].pricing.credit_packs[0].approx_million_tokens,41
offerings[1].pricing.credit_packs[1].name,Builder
offerings[1].pricing.credit_packs[1].price_eur,200
offerings[1].pricing.credit_packs[1].approx_million_tokens,166
offerings[1].pricing.credit_packs[2].name,Pro
offerings[1].pricing.credit_packs[2].price_eur,500
offerings[1].pricing.credit_packs[2].approx_million_tokens,416
pricing_additional.psp_fees.percent,0.018
pricing_additional.psp_fees.fixed_eur,0.30
working_capital.dso_days.psp_channels,2
working_capital.dso_days.invoices_private_tap,14
working_capital.dpo_days.suppliers_infra,7
working_capital.dpo_days.saas,30
costs.fixed_opex_monthly.payroll.founder_gross_eur,3500
costs.fixed_opex_monthly.payroll.contractor_half_fte_gross_eur,1750
costs.fixed_opex_monthly.marketing_ads_eur,500
costs.capex[0].item,Workstation 3090+3060+NVMe
costs.capex[0].amount_eur,2500
financing.qredits_loan_proposal.principal_eur,35000
taxes.vat_rate_std_pct,21
taxes.kor_applied,false
