sku,category,unit,unit_price_eur_per_1k_tokens,margin_target_pct,notes
Llama-3.1-8B,public_tap,1k_tokens,0.15,,
Llama-3.1-70B,public_tap,1k_tokens,1.50,,
Mixtral-8x7B,public_tap,1k_tokens,0.39,,
Mixtral-8x22B,public_tap,1k_tokens,1.35,,
Qwen2.5-7B,public_tap,1k_tokens,0.12,,
Qwen2.5-32B,public_tap,1k_tokens,0.80,,
Qwen2.5-72B,public_tap,1k_tokens,1.60,,
Yi-1.5-6B,public_tap,1k_tokens,0.10,,
Yi-1.5-9B,public_tap,1k_tokens,0.14,,
Yi-1.5-34B,public_tap,1k_tokens,0.90,,
DeepSeek-Coder-6.7B,public_tap,1k_tokens,0.16,,
DeepSeek-Coder-33B,public_tap,1k_tokens,1.30,,
DeepSeek-Coder-V2-16B,public_tap,1k_tokens,0.30,,
DeepSeek-Coder-V2-236B,public_tap,1k_tokens,2.50,,
private_tap_management_fee,private_tap,per_month,,,applies to each private GPU client
private_tap_gpu_hour_markup,private_tap,percent_over_cost,,,markup above provider GPU cost
priority_applets,services,per_hour,,,
oss_support_tier,services,per_month,,,
