variable_id,scope,path,type,unit,min,max,step,default,treatment,notes
target_margin_pct,public_tap,pricing_policy.public_tap.target_margin_pct,numeric,percent,0.2,0.8,0.05,0.55,fixed,"Target gross margin % over GPU cost (policy: fixed)"
acq_budget,public_tap,acquisition.budget_monthly_eur,numeric,EUR,0,10000,100,500,fixed,"Monthly acquisition budget for public tap (policy: fixed)"
acq_google_ads_share,public_tap,acquisition.channel_allocation.google_ads,numeric,fraction,0,1,0.1,0.5,fixed,"Share of acquisition budget to Google Ads (policy: fixed)"
acq_linkedin_ads_share,public_tap,acquisition.channel_allocation.linkedin_ads,numeric,fraction,0,1,0.1,0.3,fixed,"Share of acquisition budget to LinkedIn Ads (policy: fixed)"
acq_events_share,public_tap,acquisition.channel_allocation.events,numeric,fraction,0,1,0.1,0.2,fixed,"Share of acquisition budget to events (policy: fixed)"
tokens_per_conv_mean,public_tap,acquisition.tokens_per_conversion_mean,numeric,tokens,1000,200000,1000,50000,random_lognormal,"Mean tokens per conversion (external: lognormal)"
tokens_per_conv_sd,public_tap,acquisition.tokens_per_conversion_sd,numeric,tokens,0,50000,1000,5000,fixed,"Std dev parameter (fixed to guide distribution)"

# Growth & churn model inputs (public)
acq_budget_month0,public_tap,acquisition.budget_month0_eur,numeric,EUR,0,20000,100,1000,fixed,"Month 0 acquisition budget (policy: fixed)"
acq_budget_growth_mom,public_tap,acquisition.budget_growth_pct_mom,numeric,percent,0,50,1,8,fixed,"MoM budget growth % (policy: fixed)"
churn_pct_mom_public,public_tap,acquisition.churn_pct_mom,numeric,percent,0,50,0.5,3,random_beta,"Monthly churn % (external: beta around default)"
cac_fallback_public,public_tap,acquisition.cac_base_eur,numeric,EUR,0,500,5,50,fixed,"Fallback CAC if channel-driven CAC not configured (fixed)"

# Autoscaling controls (public)
autoscale_target_util,public_tap,autoscaling.target_utilization_pct,numeric,percent,1,100,1,75,fixed,"Target sustained utilization % (policy: fixed)"
autoscale_peak_factor,public_tap,autoscaling.peak_factor,numeric,fraction,1,3,0.05,1.2,fixed,"Peak multiplier over average demand (policy: fixed)"
autoscale_min_instances,public_tap,autoscaling.min_instances_per_model,numeric,count,0,100,1,0,fixed,"Minimum instances per model (policy: fixed)"
autoscale_max_instances,public_tap,autoscaling.max_instances_per_model,numeric,count,1,1000,1,100,fixed,"Maximum instances per model (policy: fixed)"
